timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T12:42:42.269Z,ADAAUD,mean_reversion,0.6494087599999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T12:42:42.314Z,PROVEEUR,mean_reversion,0.39519479999999996,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T12:42:43.210Z,MASKUSD,mean_reversion,0.67067,32000,4800,8000,0,0,87360.00000000015,4656,MAX_POSITION
2025-12-05T12:42:43.688Z,AKTEUR,mean_reversion,0.3914911,32000,4800,8000,0,0,87360.0000000005,4656,MAX_POSITION
2025-12-05T12:42:43.848Z,RUNEEUR,mean_reversion,0.5685679999999999,32000,4800,8000,0,0,87360.00000000109,4656,MAX_POSITION
2025-12-05T12:42:44.564Z,MEUSD,mean_reversion,0.3322318999999999,32000,4800,8000,0,0,87360.00000000102,4656,MAX_POSITION
2025-12-05T12:42:44.915Z,ONDO/USD,vwap_pullback,0.4800295499999999,32000,4800,8000,0,9699.40288051017,4656,4656,PASS
2025-12-05T12:42:44.988Z,AUDUSD,vwap_pullback,0.6646439799999999,32000,4800,8000,0,0,43377.302551866334,4656,MAX_POSITION
2025-12-05T12:42:45.181Z,RUNEUSD,mean_reversion,0.6606599999999999,32000,4800,8000,0,0,87360.0000000008,4656,MAX_POSITION
2025-12-05T12:42:45.578Z,AUDUSD,sma_trend_ride,0.66530796,32000,4800,8000,0,0,96083.28803557905,4656,MAX_POSITION
2025-12-05T12:42:46.649Z,CVXUSD,mean_reversion,1.8248229999999999,32000,4800,8000,0,0,87360.00000000054,4656,MAX_POSITION
2025-12-05T12:42:46.744Z,NANOEUR,mean_reversion,0.707725018,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T12:42:47.220Z,SOSOUSD,mean_reversion,0.6010004,32000,4800,8000,0,0,87360.0000000006,4656,MAX_POSITION
2025-12-05T12:42:47.844Z,DOTEUR,mean_reversion,1.9278258999999998,32000,4800,8000,0,0,87360.0000000011,4656,MAX_POSITION
2025-12-05T12:42:48.514Z,SYRUP/USD,vwap_bounce,0.26982955999999997,32000,4800,8000,0,17255.337035719884,4656,4656,PASS
2025-12-05T12:42:48.582Z,NANOUSD,mean_reversion,0.8149261119999999,32000,4800,8000,0,0,87360.00000000073,4656,MAX_POSITION
2025-12-05T12:42:48.646Z,TONEUR,mean_reversion,1.3643629999999998,32000,4800,8000,0,0,87360.00000000109,4656,MAX_POSITION
2025-12-05T12:42:49.142Z,DOTGBP,mean_reversion,1.6788771999999998,32000,4800,8000,0,0,87360.00000000079,4656,MAX_POSITION
