timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T10:01:17.408Z,MASKUSD,sma_trend_ride,0.680358,32000,4800,8000,0,0,80772.13541505681,4656,MAX_POSITION
2025-12-05T10:01:18.706Z,MEUSD,mean_reversion,0.3362358999999999,32000,4800,8000,0,0,87360.00000000127,4656,MAX_POSITION
2025-12-05T10:01:19.683Z,MNTUSD,mean_reversion,1.0444434,32000,4800,8000,0,0,87360.00000000022,4656,MAX_POSITION
2025-12-05T10:01:20.701Z,NANOEUR,mean_reversion,0.7067250189999998,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T10:01:22.240Z,NOSUSD,mean_reversion,0.267267,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T10:01:23.909Z,OPEUR,mean_reversion,0.272272,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T10:01:25.295Z,OPUSD,mean_reversion,0.31691659999999994,32000,4800,8000,0,0,87360.00000000131,4656,MAX_POSITION
2025-12-05T10:01:26.377Z,RUNEEUR,mean_reversion,0.5645639999999998,32000,4800,8000,0,0,87360.00000000172,4656,MAX_POSITION
2025-12-05T10:01:27.674Z,RUNEUSD,mean_reversion,0.658658,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T10:01:28.569Z,ADAAUD,mean_reversion,0.65049985,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T10:01:29.454Z,SOSOUSD,mean_reversion,0.6022016,32000,4800,8000,0,0,87359.99999999999,4656,MAX_POSITION
2025-12-05T10:01:29.883Z,ADAEUR,mean_reversion,0.370065696,32000,4800,8000,0,0,87359.99999999996,4656,MAX_POSITION
2025-12-05T10:01:31.014Z,ADAGBP,mean_reversion,0.32294261999999996,32000,4800,8000,0,0,87360.00000000116,4656,MAX_POSITION
2025-12-05T10:01:31.089Z,TONEUR,mean_reversion,1.3603589999999999,32000,4800,8000,0,0,87360.0000000007,4656,MAX_POSITION
2025-12-05T10:01:32.317Z,ADAUSDC,mean_reversion,0.43210667499999994,32000,4800,8000,0,0,87360.000000001,4656,MAX_POSITION
2025-12-05T10:01:32.440Z,TONUSD,mean_reversion,1.5855839999999999,32000,4800,8000,0,0,87360.00000000058,4656,MAX_POSITION
2025-12-05T10:01:33.897Z,TRUMPUSD,mean_reversion,5.9069009999999995,32000,4800,8000,0,0,87360.00000000067,4656,MAX_POSITION
2025-12-05T10:01:34.404Z,ADAUSDT,mean_reversion,0.4316061749999999,32000,4800,8000,0,0,87360.00000000084,4656,MAX_POSITION
2025-12-05T10:01:35.488Z,ATOMEUR,mean_reversion,1.9505485999999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T10:01:36.304Z,UNIEUR,mean_reversion,4.997993,32000,4800,8000,0,0,87360.00000000063,4656,MAX_POSITION
2025-12-05T10:01:37.073Z,ATOMUSD,mean_reversion,2.2728705999999996,32000,4800,8000,0,0,87360.00000000148,4656,MAX_POSITION
2025-12-05T10:01:37.123Z,XRP/USDC,vwap_pullback,2.06138933,32000,4800,8000,0,2258.6708547676435,4656,4656,PASS
2025-12-05T10:01:38.679Z,WLDEUR,mean_reversion,0.525525,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T10:01:39.663Z,CVXUSD,mean_reversion,1.8218199999999998,32000,4800,8000,0,0,87360.00000000128,4656,MAX_POSITION
2025-12-05T10:01:40.022Z,XRPRLUSD,mean_reversion,2.06594388,32000,4800,8000,0,0,87360.00000000137,4656,MAX_POSITION
2025-12-05T10:01:40.719Z,DOTEUR,mean_reversion,1.9267248,32000,4800,8000,0,0,87360.00000000095,4656,MAX_POSITION
2025-12-05T10:01:41.120Z,XTZEUR,mean_reversion,0.4215210999999999,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T10:01:42.079Z,DOTGBP,mean_reversion,1.6791774999999998,32000,4800,8000,0,0,87360.00000000112,4656,MAX_POSITION
