symbol,snap_date,prev_day_close,open_24h,daily_gap_pct,category
MO/USD,2026-05-05,74.5500,73.6100,1.2770,regular_quarterly
MO/USD,2026-05-06,73.4300,73.3800,0.0681,below_threshold
MO/USD,2026-05-07,72.8100,72.1600,0.9008,regular_quarterly
MO/USD,2026-05-08,70.1800,69.5000,0.9784,regular_quarterly
MO/USD,2026-05-09,69.0600,69.1200,-0.0868,below_threshold
MO/USD,2026-05-10,69.0600,69.1200,-0.0868,below_threshold
MO/USD,2026-05-11,69.0600,69.1200,-0.0868,below_threshold
MO/USD,2026-05-12,68.1150,68.7000,-0.8515,reverse_gap_up
MO/USD,2026-05-13,68.6250,69.2500,-0.9025,reverse_gap_up
MO/USD,2026-05-14,69.8950,70.2900,-0.5620,reverse_gap_up
MO/USD,2026-05-15,71.5900,72.0000,-0.5694,reverse_gap_up
MO/USD,2026-05-16,72.4000,73.0200,-0.8491,reverse_gap_up
MO/USD,2026-05-17,72.4000,73.0200,-0.8491,reverse_gap_up
PG/USD,2026-04-30,146.4800,147.0900,-0.4147,reverse_gap_up
PG/USD,2026-05-01,146.4800,147.0900,-0.4147,reverse_gap_up
PG/USD,2026-05-02,147.1750,147.8700,-0.4700,reverse_gap_up
PG/USD,2026-05-03,147.1750,147.8700,-0.4700,reverse_gap_up
PG/USD,2026-05-04,147.1750,147.8700,-0.4700,reverse_gap_up
PG/USD,2026-05-05,147.2650,146.0600,0.8250,regular_quarterly
PG/USD,2026-05-06,143.4700,143.0000,0.3287,regular_quarterly
PG/USD,2026-05-07,144.9200,146.4000,-1.0109,reverse_gap_up
PG/USD,2026-05-08,147.9050,147.5200,0.2610,below_threshold
PG/USD,2026-05-09,146.1000,146.9900,-0.6055,reverse_gap_up
PG/USD,2026-05-10,146.1000,146.9900,-0.6055,reverse_gap_up
PG/USD,2026-05-11,146.1000,146.9900,-0.6055,reverse_gap_up
PG/USD,2026-05-12,146.3800,145.9250,0.3118,regular_quarterly
PG/USD,2026-05-13,143.3700,144.2900,-0.6376,reverse_gap_up
PG/USD,2026-05-14,143.9400,143.1500,0.5519,regular_quarterly
PG/USD,2026-05-15,142.3100,142.9800,-0.4686,reverse_gap_up
PG/USD,2026-05-16,142.7600,143.4000,-0.4463,reverse_gap_up
PG/USD,2026-05-17,142.7600,143.4000,-0.4463,reverse_gap_up
T/USD,2026-04-30,25.7800,25.8200,-0.1549,below_threshold
T/USD,2026-05-01,25.7800,25.8200,-0.1549,below_threshold
T/USD,2026-05-02,26.1500,26.3800,-0.8719,reverse_gap_up
T/USD,2026-05-03,26.1500,26.3800,-0.8719,reverse_gap_up
T/USD,2026-05-04,26.1500,26.3800,-0.8719,reverse_gap_up
T/USD,2026-05-05,26.1300,25.9300,0.7713,regular_quarterly
T/USD,2026-05-06,26.1050,26.0500,0.2111,below_threshold
T/USD,2026-05-07,25.9200,25.8500,0.2708,below_threshold
T/USD,2026-05-08,25.5500,25.3900,0.6302,regular_quarterly
T/USD,2026-05-09,25.2600,25.2250,0.1388,below_threshold
T/USD,2026-05-10,25.2600,25.2250,0.1388,below_threshold
T/USD,2026-05-11,25.2600,25.2250,0.1388,below_threshold
T/USD,2026-05-12,25.1600,25.2300,-0.2774,below_threshold
T/USD,2026-05-13,24.8800,25.0500,-0.6786,reverse_gap_up
T/USD,2026-05-14,25.2500,25.2300,0.0793,below_threshold
T/USD,2026-05-15,24.7450,24.8800,-0.5426,reverse_gap_up
T/USD,2026-05-16,24.6650,24.8900,-0.9040,reverse_gap_up
T/USD,2026-05-17,24.6650,24.8900,-0.9040,reverse_gap_up
VZ/USD,2026-04-30,46.6300,46.8600,-0.4908,reverse_gap_up
VZ/USD,2026-05-01,46.6300,46.8600,-0.4908,reverse_gap_up
VZ/USD,2026-05-02,48.0000,48.3200,-0.6623,reverse_gap_up
VZ/USD,2026-05-03,48.0000,48.2850,-0.5902,reverse_gap_up
VZ/USD,2026-05-04,48.1400,47.7450,0.8273,regular_quarterly
VZ/USD,2026-05-05,48.1400,47.7450,0.8273,regular_quarterly
VZ/USD,2026-05-06,47.6000,47.5400,0.1262,below_threshold
VZ/USD,2026-05-07,47.3550,47.0800,0.5841,regular_quarterly
VZ/USD,2026-05-08,47.4100,47.0700,0.7223,regular_quarterly
VZ/USD,2026-05-09,47.1100,47.2100,-0.2118,below_threshold
VZ/USD,2026-05-10,47.1100,47.2100,-0.2118,below_threshold
VZ/USD,2026-05-11,47.1100,47.2100,-0.2118,below_threshold
VZ/USD,2026-05-12,47.2300,47.5000,-0.5684,reverse_gap_up
VZ/USD,2026-05-13,47.2400,47.6000,-0.7563,reverse_gap_up
VZ/USD,2026-05-14,47.9500,47.8900,0.1253,below_threshold
VZ/USD,2026-05-15,47.2500,47.4900,-0.5054,reverse_gap_up
VZ/USD,2026-05-16,47.0800,47.4800,-0.8425,reverse_gap_up
VZ/USD,2026-05-17,47.0800,47.4800,-0.8425,reverse_gap_up
XOM/USD,2026-04-30,154.6500,152.4100,1.4697,regular_quarterly
XOM/USD,2026-05-01,154.6500,152.4100,1.4697,regular_quarterly
XOM/USD,2026-05-02,154.4900,152.6100,1.2319,regular_quarterly
XOM/USD,2026-05-03,154.4900,152.6100,1.2319,regular_quarterly
XOM/USD,2026-05-04,154.4900,152.6100,1.2319,regular_quarterly
XOM/USD,2026-05-05,152.7650,152.1800,0.3844,regular_quarterly
XOM/USD,2026-05-06,153.7500,153.1000,0.4246,regular_quarterly
XOM/USD,2026-05-07,154.8800,149.0500,3.9114,special_or_spinoff
XOM/USD,2026-05-08,148.6200,145.9000,1.8643,special_or_spinoff
XOM/USD,2026-05-09,146.5100,145.9300,0.3975,regular_quarterly
XOM/USD,2026-05-10,146.5100,145.9300,0.3975,regular_quarterly
XOM/USD,2026-05-11,146.5100,145.9300,0.3975,regular_quarterly
XOM/USD,2026-05-12,144.3800,146.0200,-1.1231,reverse_gap_up
XOM/USD,2026-05-13,149.6800,151.2500,-1.0380,reverse_gap_up
XOM/USD,2026-05-14,150.6500,150.0600,0.3932,regular_quarterly
XOM/USD,2026-05-15,151.6200,151.9100,-0.1909,below_threshold
XOM/USD,2026-05-16,152.7750,153.7500,-0.6341,reverse_gap_up
XOM/USD,2026-05-17,152.7750,153.7500,-0.6341,reverse_gap_up
