ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,GrossProfit%,NetProfit%,Fees,Quantity,GrossProfitValue,NetProfitValue,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,EntryTime,ExitTime,DurationMin,Status
vt_1768881301308_vt3v954r8,AVNT/USD,liquidity_trap,QUANT,,TRANSITION,rotational,0.286090,0.286090,0.308640,0.272560,timeout,0.0000,-0.0140,0.00286090,250,0.0000,-0.0100,0.4297,0.4783,0.027111,0.4635,2026-01-20 03:55:01,2026-01-20 06:58:52,183.9,closed
vt_1768881301970_to6tuzxpw,AXS/EUR,sma_trend_ride,QUANT,,BULL_STABLE,rotational,1.712000,1.725000,1.861000,1.622600,timeout,0.0018,-0.0006,0.01718500,250,0.0076,-0.0024,0.6251,0.6793,0.039354,0.9317,2026-01-20 03:55:01,2026-01-20 06:58:52,183.8,closed
vt_1768881302354_lw2z9r3yt,AXS/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,1.987000,2.033000,2.173000,1.875400,timeout,0.0047,0.0026,0.02010000,250,0.0232,0.0130,0.6944,0.7399,0.057289,0.9309,2026-01-20 03:55:02,2026-01-20 06:58:52,183.8,closed
vt_1768881302735_1cj439c9x,B2/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.672600,0.672600,0.716300,0.646380,timeout,0.0000,-0.0059,0.00672600,250,0.0000,-0.0100,0.4094,0.4208,0.018905,0.6731,2026-01-20 03:55:02,2026-01-20 06:58:52,183.8,closed
vt_1768881303390_zpaby7sek,B2/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.781200,0.781200,0.833900,0.749580,timeout,0.0000,-0.0051,0.00781200,250,0.0000,-0.0100,0.4072,0.3912,0.019474,0.6363,2026-01-20 03:55:03,2026-01-20 06:58:52,183.8,closed
vt_1768881303974_0cxwyp2te,BAND/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.328800,0.328800,0.339800,0.322200,timeout,0.0000,-0.0122,0.00328800,250,0.0000,-0.0100,0.3777,0.3998,0.003693,0.5000,2026-01-20 03:55:03,2026-01-20 06:58:52,183.8,closed
vt_1768881304627_row96dneq,BERA/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,1.019100,0.988900,1.129300,0.952980,timeout,-0.0116,-0.0155,0.01004000,250,-0.0296,-0.0395,0.7177,0.8481,0.069932,0.8620,2026-01-20 03:55:04,2026-01-20 06:58:52,183.8,closed
vt_1768881305268_h1jsnuipe,DAI/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.858400,0.858400,0.871276,0.851533,timeout,0.0000,-0.0047,0.00858400,250,0.0000,-0.0100,0.4643,0.5227,0.000274,0.5476,2026-01-20 03:55:05,2026-01-20 06:58:52,183.8,closed
vt_1768881305897_pek542e8p,DAI/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.999880,0.999820,1.014878,0.991881,timeout,-0.0000,-0.0040,0.00999850,250,-0.0001,-0.0101,0.4859,0.5137,0.000888,0.5478,2026-01-20 03:55:05,2026-01-20 06:58:52,183.8,closed
vt_1768881306583_5s48c1r6e,DAI/USDT,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.001260,1.000230,1.016279,0.993250,timeout,-0.0004,-0.0044,0.01000745,250,-0.0010,-0.0110,0.4826,0.5338,-0.000061,0.5475,2026-01-20 03:55:06,2026-01-20 06:58:52,183.8,closed
