population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
xstock_spot; NFLX/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NFLX/USD,15,1539,3085,1546,-43.35526123866073,-3.0314053595248414,28.674186992901717,117.27080927307709,2.473380246624579,15.184645286685505,56.92024102428262,121.89694183955216,1.2121508282594284,12.09921355111776,45.99350256553163,131.78244143954228,1.816288513383002,15.208287693697642,54.501016377408895,93.08714734674014
xstock_spot; NFLX/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NFLX/USD,60,1359,3040,1681,-97.85932721712464,-4.9413218035831985,49.21140388868661,175.57186809800675,4.767294426428319,27.872798682375688,131.54866108602016,216.00241095353178,2.519302726255557,24.7310498330644,85.3293606063217,233.47661548622725,5.702700101438696,31.680272937735232,119.61190183930339,212.7575771358622
xstock_spot; NFLX/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NFLX/USD,240,639,2860,2221,-211.21281788857195,-13.333333333332975,53.17832996369458,120.84122670421253,6.8033146485064755,44.89746390001326,212.4304292488437,401.29484609695373,4.75073208498822,49.439286144941086,139.32038525141584,249.13949430278734,23.48288364912787,95.65322678290467,234.33627302476827,411.7651016580145
xstock_spot; NIO/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NIO/USD,5,2069,3730,1661,-39.63011889035695,0.0,39.90424115363878,118.50739283896556,0.0,13.404825737265424,60.45949214026525,170.16812692398804,0.0,15.802469135803854,53.46797005666248,157.06806282722584,0.0,13.262599469495706,52.38350441796836,196.5224621554859
xstock_spot; NIO/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NIO/USD,15,1630,3720,2090,-64.18485237483895,0.0,75.7622829512974,194.67162329615886,0.0,26.17801047120394,107.19779250156361,285.8706986444223,1.5523932729633039,26.109660574411553,121.38361565199433,223.83719046142113,0.0,26.092639935185183,89.17197452229186,345.6745143133813
xstock_spot; NIO/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NIO/USD,60,746,3675,2929,-210.27020991630118,-25.8231224472788,93.08510638297962,312.5,12.90322580645098,65.86432515077178,260.96798464093075,634.146341463414,9.826767092031563,53.475935828874995,220.58823529411686,418.8481675392675,24.600246002461912,75.64259485924096,354.4303797468362,707.3170731707312
xstock_spot; NIO/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NIO/USD,240,0,3495,3495,,,,,,,,,,,,,,,,
xstock_spot; NKE/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NKE/USD,5,1641,3135,1494,-15.57834609892339,0.0,15.608740894901274,44.25830576256745,1.3019138133063546,7.776049766718973,23.174971031286738,57.839548980109704,0.0,6.499415052645396,21.926996001548904,51.93880084236588,0.0,6.500260010400272,20.980854969840923,62.55217672432244
xstock_spot; NKE/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NKE/USD,15,1486,3125,1639,-27.504912063192613,1.299123097394661,30.006531328889974,61.471380602957105,2.601118524944712,14.293139293139468,39.118553087917896,78.04000380434935,1.2985326799930252,12.964295655791824,40.01548986704462,82.31234121405987,1.3029316182094908,10.454100011960122,37.26877837121445,84.49114694305148
xstock_spot; NKE/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NKE/USD,60,1171,3080,1909,-39.12873353332458,11.571967234429437,50.88062622309097,91.69024547961646,5.239030779304876,28.55659397715593,57.45625489683937,113.83584618440301,3.8945865247308475,35.051278722575404,72.99270072992803,100.85134250163775,2.6243275160731105,20.991865652059126,71.90482416002064,118.31438252176478
